
                                                                                Prime factors of 3^k - 2^k for k <= 300


   k   |                                                                               Prime factors of 3^k - 2^k
   193 | 773 157116815095122696291789672145814943987605497895096234870661710074857006307174092298131047
   194 | 5 389 319128643 860767049477 11401355003174418536876396236159 59813046375181769306016700165290169537
   195 | 19 53 211 3571 29927 2010191 47891351 319716931 134473349011 34867862809611949651 333547824886531319388057241
   196 | 5 13 29 71 197 463 21757 224617 369181 3440291 133768139 87407924298829 589955028851094677 6274085743404921460537
   197 | 4729 627158563 234271804066943144332319 14158605703498662092605666552664253711127693911176505757607
   198 | 5 7 19 23 23 67 199 331 577 1009 2377 35839 22270249 24939553 397546183 134722067567812337647 12884961778437920314402513
   199 | 24532885171 583874751623 70004575814822617 204366039176988885727871 432042242155762716591315528631609
   200 | 5 5 5 11 13 41 97 101 211 281 1201 3121 4621 11701 513101 742801 9802501 20017001 39756701 104189401 9937984196743741414107401
   201 | 19 269 5227 1127209 17685389279 6526081268653603 14064610681634419 19487546413505693209 836483523469394491081
   202 | 5 9293 511061 65110052388500902759897072711414286887 1546132562196033990574082188840405015112916155251
   203 | 29 29 71 6914587 1872620794129 68629840493971 135154741774875856294696475102949312848119651741929977617013
   204 | 5 7 13 19 61 103 307 409 3163 3673 7039 36313 57529 982057 129009091 904841491 6963690757 1282861452271981 18030735065744521
   205 | 211 821 32309 99139 928651 1137341 13869481 204159091 496268670311 78374455504513100082346514716110837068154961
   206 | 5 1031 2267 4327 19571 864583 1016611 1035563 3678131 4402074514867780687 13276260528852139084537022924276558050559
   207 | 19 47 139 691 1009 24841 102811 174571 270619 2002867877 3600218521 564397255371787417 13669705409132121645817136008513
   208 | 5 13 13 17 53 79 97 401 1093 4057 12689 13001 29927 62401 1110929 1786097 13761229 82104167839721 243219535423155690873375936113
   209 | 23 23 331 1559 745181 3519711317 17783063744014801 410617119926372986453109660583204752251353220144937873191103
   210 | 5 5 7 7 11 19 29 31 43 71 211 241 463 3571 6091 6217 11971 20161 92233 722611 1022911 18906721 392943879511 3594814314001 15953660849491
